Unnamed: 0,Gubun,저평가_비율,데이터_개수,최근거래가격
62,서울특별시강남구도곡동09610000_80,1.0,106,170000
119,서울특별시강남구일원동07110000_50,1.0,132,100000
21,서울특별시강남구논현동00220000_80,1.0,123,180000
107,서울특별시강남구역삼동07220000_80,1.0,100,171000
58,서울특별시강남구도곡동05430007_130,1.0,102,290000
83,서울특별시강남구수서동07380000_80,1.0,162,175000
106,서울특별시강남구역삼동07200025_30,0.9941176470588236,170,34000
50,서울특별시강남구도곡동04670007_120,0.9905660377358492,106,220000
63,서울특별시강남구도곡동09630000_120,0.9801324503311258,151,260000
52,서울특별시강남구도곡동04670019_30,0.975206611570248,121,47000
78,서울특별시강남구수서동07080000_60,0.9647058823529412,170,165000
54,서울특별시강남구도곡동05270000_120,0.958656330749354,387,349000
75,서울특별시강남구세곡동05330000_80,0.9444444444444444,162,160000
59,서울특별시강남구도곡동08950008_80,0.927927927927928,111,211000
109,서울특별시강남구역삼동07540001_80,0.9085714285714286,175,273000
132,서울특별시강남구자곡동06860000_80,0.908256880733945,109,180000
61,서울특별시강남구도곡동09340010_80,0.9044117647058824,136,225000
87,서울특별시강남구수서동07470000_80,0.8971061093247589,311,195000
122,서울특별시강남구일원동07160000_130,0.8857142857142857,105,227000
64,서울특별시강남구도곡동09630000_80,0.8776223776223776,286,235500
13,서울특별시강남구개포동01850000_80,0.8700564971751412,177,190000
69,서울특별시강남구삼성동00110000_120,0.8571428571428571,140,318000
125,서울특별시강남구일원동07190000_80,0.839622641509434,212,154000
16,서울특별시강남구개포동01890000_50,0.8122270742358079,229,190000
39,서울특별시강남구대치동09850000_110,0.7767857142857143,112,280000
113,서울특별시강남구역삼동07570000_80,0.7575757575757576,165,279500
74,서울특별시강남구세곡동05250000_80,0.7375,160,132000
67,서울특별시강남구도곡동09670000_80,0.7297297297297297,111,225000
65,서울특별시강남구도곡동09640000_80,0.7087378640776699,103,187000
104,서울특별시강남구역삼동07060020_40,0.7048192771084337,166,41000
15,서울특별시강남구개포동01890000_40,0.698870765370138,797,182000
12,서울특별시강남구개포동01850000_70,0.6973684210526315,228,270000
23,서울특별시강남구논현동01050000_80,0.695364238410596,151,227500
29,서울특별시강남구대치동05110000_120,0.6916666666666667,120,350000
131,서울특별시강남구자곡동06860000_110,0.6882352941176471,170,175000
123,서울특별시강남구일원동07180000_100,0.6821705426356589,129,265000
19,서울특별시강남구개포동06560000_50,0.6808510638297872,94,140000
111,서울특별시강남구역삼동07550004_80,0.6795580110497238,181,250000
90,서울특별시강남구압구정동03690001_160,0.6690647482014388,139,602000
116,서울특별시강남구일원동06150000_80,0.6634146341463415,205,248500
14,서울특별시강남구개포동01870000_70,0.6521739130434783,92,273000
114,서울특별시강남구역삼동07620003_80,0.6206896551724138,116,259000
129,서울특별시강남구자곡동06110000_100,0.5982905982905983,117,184000
130,서울특별시강남구자곡동06110000_90,0.5928571428571429,140,176000
55,서울특별시강남구도곡동05270000_130,0.5423728813559322,177,423000
7,서울특별시강남구개포동01410000_50,0.5272244355909694,753,195000
49,서울특별시강남구도곡동04670000_160,0.5141509433962265,212,480000
102,서울특별시강남구압구정동04900000_60,0.5096774193548387,155,307000
25,서울특별시강남구대치동03160000_80,0.4987303199593702,1969,184000
18,서울특별시강남구개포동06560000_40,0.492836676217765,349,99800
71,서울특별시강남구삼성동00160002_80,0.4909090909090909,275,280000
11,서울특별시강남구개포동01850000_60,0.4898989898989899,198,200000
10,서울특별시강남구개포동01850000_50,0.4875621890547263,201,211500
51,서울특별시강남구도곡동04670017_160,0.4632768361581921,177,430000
134,서울특별시강남구청담동01080000_80,0.4382716049382716,162,288000
44,서울특별시강남구대치동10270000_90,0.435,200,291000
85,서울특별시강남구수서동07460000_40,0.3972602739726027,438,110000
6,서울특별시강남구개포동01410000_40,0.3798530954879328,953,184000
95,서울특별시강남구압구정동04430000_80,0.3756345177664975,197,420000
43,서울특별시강남구대치동10270000_80,0.375,112,330000
53,서울특별시강남구도곡동05270000_110,0.3604651162790697,172,410000
3,서울특별시강남구개포동00120000_60,0.3513513513513513,148,134000
89,서울특별시강남구수서동07950000_80,0.3413173652694611,167,186500
98,서울특별시강남구압구정동04560000_140,0.3146853146853147,143,430000
80,서울특별시강남구수서동07360000_30,0.3089430894308943,246,80000
72,서울특별시강남구삼성동00500000_80,0.3076923076923077,260,235000
84,서울특별시강남구수서동07460000_30,0.2990654205607476,321,102000
35,서울특별시강남구대치동06700000_160,0.2635658914728682,129,505000
96,서울특별시강남구압구정동04470000_80,0.2371794871794871,156,430000
45,서울특별시강남구도곡동00910005_120,0.2307692307692307,143,320000
2,서울특별시강남구개포동00120000_50,0.2283464566929134,508,104000
92,서울특별시강남구압구정동03970000_70,0.2268518518518518,216,317500
133,서울특별시강남구청담동00300033_80,0.2210526315789473,95,200000
31,서울특별시강남구대치동05110000_80,0.2196969696969697,264,267000
81,서울특별시강남구수서동07360000_40,0.1926910299003322,301,95000
97,서울특별시강남구압구정동04550000_80,0.1909090909090909,110,410000
37,서울특별시강남구대치동08880000_80,0.1904761904761904,126,286000
57,서울특별시강남구도곡동05270000_80,0.1811320754716981,530,278000
1,서울특별시강남구개포동00120000_40,0.1464566929133858,635,102500
126,서울특별시강남구일원동07310000_80,0.1309523809523809,168,182000
70,서울특별시강남구삼성동00160002_30,0.1299435028248587,177,126000
127,서울특별시강남구일원동07340000_70,0.1270718232044199,181,160000
0,서울특별시강남구개포동00120000_30,0.11,400,84700
128,서울특별시강남구일원동07350000_80,0.0982658959537572,173,170000
33,서울특별시강남구대치동06700000_120,0.0560747663551401,107,440000
28,서울특별시강남구대치동05060000_80,0.056,125,320000
47,서울특별시강남구도곡동04640000_50,0.0495049504950495,101,225000
27,서울특별시강남구대치동05030000_80,0.0297029702970297,101,290000
42,서울특별시강남구대치동10140003_80,0.0212765957446808,94,254000
46,서울특별시강남구도곡동00910005_80,0.017391304347826,115,265000
